checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,years_at_residence,age,other_credit,existing_loans_count,default
< 0 DM,12,very good,furniture/appliances,626,< 100 DM,1 - 4 years,4,24,bank,1,yes
unknown,18,good,renovations,1943,< 100 DM,< 1 year,4,23,none,1,yes
unknown,36,critical,furniture/appliances,9566,< 100 DM,1 - 4 years,2,31,store,2,no
< 0 DM,48,good,business,4308,< 100 DM,< 1 year,4,24,none,1,yes
1 - 200 DM,24,good,furniture/appliances,4057,< 100 DM,4 - 7 years,3,43,none,1,yes
< 0 DM,12,very good,education,339,< 100 DM,> 7 years,1,45,bank,1,no
1 - 200 DM,12,good,furniture/appliances,983,> 1000 DM,< 1 year,4,19,none,1,no
unknown,21,critical,furniture/appliances,2288,< 100 DM,< 1 year,4,23,none,1,no
1 - 200 DM,36,good,furniture/appliances,2323,< 100 DM,4 - 7 years,4,24,none,1,no
1 - 200 DM,12,good,furniture/appliances,6468,unknown,unemployed,1,52,none,1,yes
< 0 DM,48,good,furniture/appliances,6999,< 100 DM,4 - 7 years,1,34,none,2,yes
unknown,24,good,furniture/appliances,3235,500 - 1000 DM,> 7 years,2,26,none,1,no
1 - 200 DM,9,good,furniture/appliances,1670,< 100 DM,< 1 year,2,22,none,1,yes
unknown,30,good,car,4811,unknown,4 - 7 years,4,24,store,1,no
1 - 200 DM,6,good,furniture/appliances,753,< 100 DM,1 - 4 years,3,64,none,1,no
1 - 200 DM,12,good,car,1007,> 1000 DM,1 - 4 years,1,22,none,1,no
< 0 DM,12,good,car,1168,< 100 DM,1 - 4 years,3,27,none,1,no
unknown,24,good,car,9277,unknown,1 - 4 years,4,48,none,1,no
< 0 DM,18,good,furniture/appliances,1882,< 100 DM,1 - 4 years,4,25,bank,2,yes
unknown,24,poor,car,4679,< 100 DM,4 - 7 years,3,35,none,2,no
unknown,24,critical,car,6842,unknown,1 - 4 years,4,46,none,2,no
< 0 DM,36,good,car,3249,< 100 DM,4 - 7 years,4,39,bank,1,no
< 0 DM,24,very good,furniture/appliances,1546,< 100 DM,4 - 7 years,4,24,bank,1,yes
unknown,12,good,furniture/appliances,1963,< 100 DM,4 - 7 years,2,31,none,2,no
unknown,24,critical,car,2022,< 100 DM,1 - 4 years,4,37,none,1,no
unknown,15,poor,furniture/appliances,1478,< 100 DM,1 - 4 years,3,33,bank,2,no
unknown,12,critical,furniture/appliances,5801,unknown,> 7 years,4,49,none,1,no
1 - 200 DM,6,critical,education,932,unknown,4 - 7 years,3,39,none,2,no
unknown,24,good,furniture/appliances,1901,100 - 500 DM,1 - 4 years,4,29,none,1,no
< 0 DM,12,good,furniture/appliances,2578,< 100 DM,unemployed,4,55,none,1,no
< 0 DM,12,critical,car,2122,< 100 DM,1 - 4 years,2,39,none,2,no
unknown,12,critical,furniture/appliances,1291,< 100 DM,1 - 4 years,2,35,none,2,no
1 - 200 DM,12,critical,car,3124,< 100 DM,< 1 year,3,49,bank,2,no
1 - 200 DM,27,critical,furniture/appliances,2520,500 - 1000 DM,1 - 4 years,2,23,none,2,yes
1 - 200 DM,24,good,furniture/appliances,3092,100 - 500 DM,< 1 year,2,22,none,1,yes
unknown,18,poor,furniture/appliances,1808,< 100 DM,4 - 7 years,1,22,none,1,yes
unknown,12,good,car,1884,< 100 DM,> 7 years,4,39,none,1,no
1 - 200 DM,39,poor,education,11760,100 - 500 DM,4 - 7 years,3,32,none,1,no
< 0 DM,12,critical,car,1409,< 100 DM,> 7 years,3,54,none,1,no
unknown,15,good,furniture/appliances,874,unknown,< 1 year,1,24,none,1,no
unknown,15,good,car,4657,< 100 DM,1 - 4 years,2,30,none,1,no
< 0 DM,24,good,car,2964,unknown,> 7 years,4,49,bank,1,no
1 - 200 DM,30,good,furniture/appliances,2991,unknown,> 7 years,4,25,none,1,no
< 0 DM,12,good,education,902,< 100 DM,4 - 7 years,4,21,none,1,yes
unknown,15,good,furniture/appliances,1213,500 - 1000 DM,> 7 years,3,47,store,1,no
1 - 200 DM,12,good,education,754,unknown,> 7 years,4,38,none,2,no
1 - 200 DM,15,good,car,2631,100 - 500 DM,1 - 4 years,4,28,none,2,yes
1 - 200 DM,48,very good,car,12169,unknown,unemployed,4,36,none,1,no
1 - 200 DM,18,good,furniture/appliances,3213,500 - 1000 DM,< 1 year,3,25,none,1,no
1 - 200 DM,12,perfect,furniture/appliances,2969,< 100 DM,< 1 year,3,25,none,2,yes
unknown,18,critical,furniture/appliances,3780,< 100 DM,< 1 year,2,35,none,2,no
1 - 200 DM,42,critical,business,5954,< 100 DM,4 - 7 years,1,41,bank,2,no
> 200 DM,12,good,furniture/appliances,1474,< 100 DM,< 1 year,1,33,bank,1,no
unknown,15,good,furniture/appliances,2186,unknown,4 - 7 years,4,33,bank,1,no
1 - 200 DM,18,critical,furniture/appliances,1795,< 100 DM,> 7 years,4,48,bank,2,no
< 0 DM,18,critical,furniture/appliances,2124,< 100 DM,1 - 4 years,4,24,none,2,yes
1 - 200 DM,36,good,car,14318,< 100 DM,> 7 years,2,57,none,1,yes
1 - 200 DM,15,poor,renovations,1512,> 1000 DM,1 - 4 years,3,61,store,2,yes
unknown,6,critical,car,362,100 - 500 DM,1 - 4 years,4,52,none,2,no
1 - 200 DM,15,good,furniture/appliances,802,< 100 DM,> 7 years,3,37,none,1,yes
< 0 DM,24,good,furniture/appliances,3149,< 100 DM,< 1 year,1,22,bank,1,no
< 0 DM,15,critical,furniture/appliances,1478,< 100 DM,> 7 years,4,44,none,2,no
> 200 DM,6,critical,car,1323,100 - 500 DM,> 7 years,4,28,none,2,no
< 0 DM,48,good,car,10297,< 100 DM,4 - 7 years,4,39,store,3,yes
< 0 DM,10,critical,car,1038,< 100 DM,4 - 7 years,3,49,none,2,no
unknown,30,critical,furniture/appliances,6742,unknown,4 - 7 years,3,36,none,2,no
< 0 DM,11,critical,car,3905,< 100 DM,1 - 4 years,2,36,none,2,no
1 - 200 DM,18,critical,business,3590,< 100 DM,unemployed,3,40,none,3,no
< 0 DM,6,good,car,1203,100 - 500 DM,> 7 years,2,43,none,1,no
unknown,15,good,furniture/appliances,1979,unknown,> 7 years,2,35,none,1,no
< 0 DM,16,critical,car,2625,< 100 DM,> 7 years,4,43,bank,1,yes
unknown,6,good,car,672,< 100 DM,unemployed,4,54,none,1,no
unknown,18,good,furniture/appliances,4594,< 100 DM,< 1 year,2,32,none,1,no
unknown,12,critical,furniture/appliances,1592,> 1000 DM,4 - 7 years,2,35,none,1,no
unknown,15,good,car,5324,500 - 1000 DM,> 7 years,4,35,none,1,no
1 - 200 DM,18,critical,furniture/appliances,3612,< 100 DM,> 7 years,4,37,none,1,no
1 - 200 DM,24,good,car,1355,< 100 DM,< 1 year,4,25,none,1,yes
< 0 DM,6,critical,car,4716,unknown,< 1 year,3,44,none,2,no
< 0 DM,24,good,furniture/appliances,2384,< 100 DM,> 7 years,4,64,bank,1,no
< 0 DM,12,good,car,1228,< 100 DM,1 - 4 years,2,24,none,1,yes
> 200 DM,12,good,furniture/appliances,1297,< 100 DM,1 - 4 years,4,23,none,1,no
unknown,18,critical,car,1028,< 100 DM,1 - 4 years,3,36,none,2,no
1 - 200 DM,36,poor,car,2225,< 100 DM,> 7 years,4,57,bank,2,yes
unknown,18,very good,car,6458,< 100 DM,> 7 years,4,39,bank,2,yes
< 0 DM,42,good,furniture/appliances,7174,unknown,4 - 7 years,3,30,none,1,yes
1 - 200 DM,6,good,renovations,454,< 100 DM,< 1 year,1,22,none,1,no
unknown,12,good,furniture/appliances,886,unknown,1 - 4 years,2,21,none,1,no
< 0 DM,30,good,renovations,11998,< 100 DM,< 1 year,1,34,none,1,yes
< 0 DM,36,critical,furniture/appliances,2348,< 100 DM,1 - 4 years,2,46,none,2,no
unknown,9,critical,furniture/appliances,3074,unknown,1 - 4 years,2,33,none,2,no
unknown,18,good,furniture/appliances,1453,< 100 DM,< 1 year,1,26,none,1,no
1 - 200 DM,6,very good,education,433,> 1000 DM,< 1 year,2,24,bank,1,yes
< 0 DM,12,critical,car,1526,< 100 DM,> 7 years,4,66,none,2,no
> 200 DM,6,good,furniture/appliances,2116,< 100 DM,1 - 4 years,2,41,none,1,no
< 0 DM,21,good,furniture/appliances,3599,< 100 DM,4 - 7 years,4,26,none,1,no
unknown,24,poor,car,2032,< 100 DM,> 7 years,4,60,none,2,no
unknown,36,good,education,1819,< 100 DM,1 - 4 years,4,37,store,1,yes
> 200 DM,24,good,furniture/appliances,3749,< 100 DM,< 1 year,4,26,none,1,no
unknown,6,critical,furniture/appliances,1382,< 100 DM,1 - 4 years,1,28,none,2,no
1 - 200 DM,36,perfect,furniture/appliances,3804,< 100 DM,1 - 4 years,1,42,none,1,yes
unknown,15,good,car,3029,< 100 DM,4 - 7 years,2,33,none,1,no
< 0 DM,24,good,car,915,unknown,> 7 years,2,29,bank,1,yes
unknown,48,critical,car,8858,unknown,4 - 7 years,1,35,none,2,no
unknown,12,good,furniture/appliances,1768,< 100 DM,1 - 4 years,2,24,none,1,no
< 0 DM,30,good,car,3857,< 100 DM,1 - 4 years,4,40,none,1,no
unknown,6,good,renovations,660,500 - 1000 DM,4 - 7 years,4,23,none,1,no
< 0 DM,6,critical,car,609,< 100 DM,4 - 7 years,3,37,none,2,no
unknown,18,critical,furniture/appliances,2238,< 100 DM,1 - 4 years,1,25,none,2,no
1 - 200 DM,12,critical,furniture/appliances,3573,< 100 DM,1 - 4 years,1,23,none,1,no
unknown,15,critical,education,1532,100 - 500 DM,1 - 4 years,3,31,none,1,no
unknown,6,critical,furniture/appliances,1221,unknown,1 - 4 years,2,27,none,2,no
1 - 200 DM,7,good,furniture/appliances,2576,< 100 DM,1 - 4 years,2,35,none,1,no
< 0 DM,9,good,furniture/appliances,2136,< 100 DM,1 - 4 years,2,25,none,1,no
< 0 DM,36,good,car,9271,< 100 DM,4 - 7 years,1,24,none,1,yes
< 0 DM,12,critical,furniture/appliances,385,< 100 DM,4 - 7 years,3,58,none,4,no
< 0 DM,36,very good,furniture/appliances,2746,< 100 DM,> 7 years,4,31,bank,1,yes
< 0 DM,12,critical,furniture/appliances,2246,< 100 DM,> 7 years,3,60,none,2,yes
< 0 DM,6,very good,education,1198,< 100 DM,> 7 years,4,35,none,1,yes
unknown,12,critical,furniture/appliances,1655,< 100 DM,> 7 years,4,63,none,2,no
< 0 DM,36,critical,furniture/appliances,6229,< 100 DM,< 1 year,4,23,none,2,yes
< 0 DM,24,good,furniture/appliances,3021,< 100 DM,1 - 4 years,2,24,none,1,no
1 - 200 DM,18,poor,furniture/appliances,4297,< 100 DM,> 7 years,3,40,none,1,yes
1 - 200 DM,36,critical,car,2820,< 100 DM,< 1 year,4,27,none,2,yes
1 - 200 DM,7,good,furniture/appliances,2415,< 100 DM,1 - 4 years,2,34,none,1,no
1 - 200 DM,18,poor,renovations,6204,< 100 DM,1 - 4 years,4,44,none,1,no
unknown,18,good,furniture/appliances,1126,unknown,< 1 year,2,21,none,1,no
< 0 DM,18,good,car,2249,100 - 500 DM,4 - 7 years,3,30,none,1,no
unknown,4,good,furniture/appliances,601,< 100 DM,< 1 year,3,23,none,1,no
1 - 200 DM,36,perfect,business,1953,< 100 DM,> 7 years,4,61,none,1,yes
1 - 200 DM,27,perfect,business,8318,< 100 DM,> 7 years,4,42,none,2,yes
unknown,27,poor,business,5117,< 100 DM,4 - 7 years,4,26,none,2,no
1 - 200 DM,12,good,furniture/appliances,2930,< 100 DM,4 - 7 years,1,27,none,1,no
1 - 200 DM,11,good,furniture/appliances,1577,> 1000 DM,< 1 year,1,20,none,1,no
1 - 200 DM,12,good,furniture/appliances,766,500 - 1000 DM,1 - 4 years,3,66,none,1,yes
1 - 200 DM,21,good,business,1188,< 100 DM,> 7 years,4,39,none,1,yes
unknown,18,good,business,1950,< 100 DM,4 - 7 years,1,34,store,2,no
unknown,24,good,furniture/appliances,1552,< 100 DM,4 - 7 years,1,32,bank,1,no
> 200 DM,12,good,furniture/appliances,2251,< 100 DM,1 - 4 years,2,46,none,1,no
unknown,15,critical,furniture/appliances,3343,< 100 DM,1 - 4 years,2,28,none,1,no
unknown,15,critical,furniture/appliances,1459,< 100 DM,1 - 4 years,2,43,none,1,no
1 - 200 DM,24,poor,furniture/appliances,6403,< 100 DM,< 1 year,2,33,none,1,no
1 - 200 DM,36,good,renovations,2384,< 100 DM,< 1 year,1,33,none,1,yes
< 0 DM,12,good,car,3651,> 1000 DM,1 - 4 years,3,31,none,1,no
unknown,10,good,car,2901,unknown,< 1 year,4,31,none,1,no
unknown,54,perfect,car,9436,unknown,1 - 4 years,2,39,none,1,no
unknown,11,critical,car,7228,< 100 DM,1 - 4 years,4,39,none,2,no
unknown,12,good,furniture/appliances,2073,100 - 500 DM,1 - 4 years,2,28,none,1,no
1 - 200 DM,18,critical,business,1887,unknown,1 - 4 years,4,28,bank,2,no
1 - 200 DM,36,very good,furniture/appliances,3990,unknown,< 1 year,2,29,bank,1,no
> 200 DM,12,very good,business,609,< 100 DM,< 1 year,1,26,none,1,yes
> 200 DM,18,good,car,1961,< 100 DM,> 7 years,2,23,none,1,no
< 0 DM,24,good,car,4817,< 100 DM,4 - 7 years,3,31,none,1,yes
> 200 DM,12,good,furniture/appliances,3399,unknown,> 7 years,3,37,none,1,no
unknown,60,good,car,6527,unknown,1 - 4 years,4,34,none,1,no
1 - 200 DM,36,good,education,12612,100 - 500 DM,1 - 4 years,4,47,none,1,yes
unknown,24,critical,furniture/appliances,5150,< 100 DM,> 7 years,4,33,none,1,no
unknown,6,critical,furniture/appliances,1740,< 100 DM,> 7 years,2,30,none,2,no
< 0 DM,18,perfect,business,3104,< 100 DM,4 - 7 years,1,31,bank,1,no
1 - 200 DM,48,critical,furniture/appliances,5096,< 100 DM,1 - 4 years,3,30,none,1,yes
1 - 200 DM,72,good,furniture/appliances,5595,100 - 500 DM,1 - 4 years,2,24,none,1,yes
1 - 200 DM,24,good,furniture/appliances,1967,< 100 DM,> 7 years,4,20,none,1,no
unknown,4,critical,car,1455,< 100 DM,4 - 7 years,1,42,none,3,no
unknown,6,perfect,car,1204,100 - 500 DM,1 - 4 years,1,35,bank,1,no
< 0 DM,36,good,car,8229,< 100 DM,1 - 4 years,2,26,none,1,yes
1 - 200 DM,18,poor,car,2899,unknown,> 7 years,4,43,none,1,no
1 - 200 DM,9,very good,car,1437,100 - 500 DM,4 - 7 years,3,29,none,1,yes
< 0 DM,18,perfect,furniture/appliances,3114,< 100 DM,< 1 year,4,26,none,1,yes
1 - 200 DM,12,good,furniture/appliances,1103,< 100 DM,4 - 7 years,3,29,none,2,no
< 0 DM,42,poor,furniture/appliances,4370,< 100 DM,4 - 7 years,2,26,bank,2,yes
unknown,24,good,car,7814,< 100 DM,4 - 7 years,3,38,none,1,no
1 - 200 DM,24,good,car,4113,500 - 1000 DM,< 1 year,4,28,none,1,yes
> 200 DM,9,perfect,furniture/appliances,1337,< 100 DM,< 1 year,2,34,none,2,yes
< 0 DM,18,very good,car,1442,< 100 DM,4 - 7 years,4,32,none,2,yes
unknown,36,critical,furniture/appliances,7127,< 100 DM,< 1 year,4,23,none,2,yes
unknown,21,perfect,car,5003,unknown,1 - 4 years,4,29,bank,2,yes
unknown,15,critical,furniture/appliances,1316,500 - 1000 DM,1 - 4 years,2,47,none,2,no
< 0 DM,12,good,education,684,< 100 DM,1 - 4 years,4,40,none,1,yes
> 200 DM,6,critical,car,1343,< 100 DM,> 7 years,4,46,none,2,no
unknown,15,good,car,3186,> 1000 DM,4 - 7 years,3,20,none,1,no
> 200 DM,36,good,furniture/appliances,4473,< 100 DM,> 7 years,2,31,none,1,no
unknown,18,good,furniture/appliances,2051,< 100 DM,< 1 year,1,33,none,1,no
< 0 DM,60,good,business,7297,< 100 DM,> 7 years,4,36,none,1,yes
< 0 DM,48,good,furniture/appliances,6758,< 100 DM,1 - 4 years,2,31,none,1,yes
unknown,6,good,education,1538,< 100 DM,< 1 year,2,56,none,1,no
< 0 DM,9,good,furniture/appliances,1366,< 100 DM,< 1 year,4,22,none,1,yes
< 0 DM,60,poor,business,6836,< 100 DM,> 7 years,4,63,none,2,yes
1 - 200 DM,8,good,furniture/appliances,1237,< 100 DM,1 - 4 years,4,24,none,1,yes
> 200 DM,42,perfect,business,6289,< 100 DM,< 1 year,1,33,none,2,no
> 200 DM,6,critical,education,1047,< 100 DM,1 - 4 years,4,50,none,1,no
1 - 200 DM,10,good,car,7308,< 100 DM,unemployed,4,70,bank,1,no
1 - 200 DM,18,good,furniture/appliances,866,< 100 DM,1 - 4 years,2,25,none,1,no
unknown,22,good,car,1283,unknown,4 - 7 years,4,25,none,1,no
< 0 DM,24,good,car,2812,unknown,> 7 years,4,26,none,1,no
< 0 DM,36,good,car,5493,< 100 DM,> 7 years,4,42,none,1,no
< 0 DM,39,critical,furniture/appliances,14179,unknown,4 - 7 years,4,30,none,2,no
unknown,27,critical,furniture/appliances,4526,> 1000 DM,< 1 year,2,32,store,2,no
< 0 DM,12,very good,furniture/appliances,2149,< 100 DM,1 - 4 years,1,29,none,1,yes
< 0 DM,12,good,furniture/appliances,727,100 - 500 DM,< 1 year,3,33,none,1,yes
unknown,10,critical,car,1231,< 100 DM,> 7 years,4,32,none,2,no
unknown,36,critical,car,5711,> 1000 DM,> 7 years,2,38,none,2,no
unknown,12,good,car,1413,> 1000 DM,4 - 7 years,2,55,none,1,no
unknown,12,critical,car,1495,< 100 DM,> 7 years,1,38,none,2,no
unknown,48,critical,car,2751,unknown,> 7 years,3,38,none,2,no
unknown,24,good,car,1525,> 1000 DM,4 - 7 years,3,34,none,1,no
unknown,18,critical,education,1864,100 - 500 DM,1 - 4 years,2,30,none,2,yes
unknown,15,poor,car,3594,< 100 DM,< 1 year,2,46,none,2,no
< 0 DM,12,good,education,1200,unknown,1 - 4 years,4,23,bank,1,no
unknown,6,critical,furniture/appliances,1898,unknown,1 - 4 years,2,34,none,2,no
< 0 DM,24,good,furniture/appliances,3345,< 100 DM,> 7 years,2,39,none,1,yes
< 0 DM,15,critical,furniture/appliances,975,< 100 DM,1 - 4 years,3,25,none,2,no
< 0 DM,21,good,furniture/appliances,1835,< 100 DM,1 - 4 years,2,25,none,2,yes
1 - 200 DM,18,good,car,1042,unknown,1 - 4 years,2,33,none,1,yes
unknown,10,good,car,2848,100 - 500 DM,1 - 4 years,2,32,none,1,no
1 - 200 DM,24,good,car,2718,< 100 DM,1 - 4 years,4,20,none,1,yes
unknown,24,critical,furniture/appliances,2223,100 - 500 DM,> 7 years,4,52,bank,2,no
1 - 200 DM,24,critical,furniture/appliances,4736,< 100 DM,< 1 year,4,25,bank,1,yes
unknown,60,critical,car,13756,unknown,> 7 years,4,63,bank,1,no
unknown,36,critical,car,10477,unknown,> 7 years,4,42,none,2,no
1 - 200 DM,9,critical,furniture/appliances,1154,< 100 DM,> 7 years,4,37,none,3,no
< 0 DM,21,critical,car,1602,< 100 DM,> 7 years,3,30,none,2,no
1 - 200 DM,12,critical,car,2366,500 - 1000 DM,4 - 7 years,3,36,none,1,no
unknown,24,good,furniture/appliances,3430,500 - 1000 DM,> 7 years,2,31,none,1,no
1 - 200 DM,12,perfect,education,1410,< 100 DM,1 - 4 years,2,31,none,1,no
unknown,24,good,car,6313,unknown,> 7 years,4,41,none,1,no
< 0 DM,24,good,furniture/appliances,1603,< 100 DM,> 7 years,4,55,none,1,no
< 0 DM,24,good,car,3123,< 100 DM,< 1 year,1,27,none,1,yes
1 - 200 DM,12,good,furniture/appliances,1484,unknown,1 - 4 years,1,25,none,1,yes
1 - 200 DM,12,critical,furniture/appliances,3617,< 100 DM,> 7 years,4,28,none,3,no
1 - 200 DM,24,good,furniture/appliances,3069,100 - 500 DM,> 7 years,4,30,none,1,no
> 200 DM,10,good,car,1240,100 - 500 DM,> 7 years,4,48,none,1,yes
unknown,36,perfect,renovations,2613,< 100 DM,1 - 4 years,2,27,none,2,no
1 - 200 DM,18,perfect,car,2278,100 - 500 DM,< 1 year,3,28,none,2,yes
1 - 200 DM,16,critical,car,1175,< 100 DM,unemployed,3,68,none,3,no
< 0 DM,24,good,furniture/appliances,1938,< 100 DM,< 1 year,3,32,none,1,yes
1 - 200 DM,9,critical,education,1136,> 1000 DM,> 7 years,3,32,none,2,yes
1 - 200 DM,9,good,furniture/appliances,790,500 - 1000 DM,1 - 4 years,3,66,none,1,no
1 - 200 DM,9,good,car,3195,unknown,1 - 4 years,2,33,none,1,no
< 0 DM,18,good,furniture/appliances,4153,< 100 DM,1 - 4 years,3,42,none,1,yes
< 0 DM,6,good,education,448,< 100 DM,< 1 year,4,23,none,1,yes
1 - 200 DM,48,perfect,business,14421,< 100 DM,1 - 4 years,2,25,none,1,yes
1 - 200 DM,21,critical,business,3652,< 100 DM,4 - 7 years,3,27,none,2,no
1 - 200 DM,24,good,car,3512,100 - 500 DM,4 - 7 years,3,38,bank,2,no
1 - 200 DM,15,critical,furniture/appliances,2728,unknown,4 - 7 years,2,35,bank,3,no
< 0 DM,15,good,furniture/appliances,1275,unknown,1 - 4 years,2,24,none,1,yes
1 - 200 DM,24,good,car,11560,< 100 DM,1 - 4 years,4,23,none,2,yes
< 0 DM,12,good,furniture/appliances,708,< 100 DM,1 - 4 years,3,38,none,1,no
> 200 DM,24,good,furniture/appliances,1377,100 - 500 DM,> 7 years,2,47,none,1,no
unknown,24,critical,furniture/appliances,1585,< 100 DM,4 - 7 years,3,40,none,2,no
1 - 200 DM,30,critical,car,2181,unknown,> 7 years,4,36,none,2,no
< 0 DM,24,good,furniture/appliances,1823,< 100 DM,unemployed,2,30,store,1,yes
1 - 200 DM,6,good,furniture/appliances,590,< 100 DM,< 1 year,3,26,none,1,no
